identificador,codigo,vereda_codigo,numero_subterraneos,codigo_anterior,tipo_predio,derecho,tipo_documento,matricula,acto_registral,ente_emisor,numero_fuente,propietario,tipo_de_documento_de_identificacion,numero_documento,estado_folio,telefono,grupo_etnico,estado_civil,fecha
1,683070000000000170053000000000,68307000000000017,0,68307000000170053000,RURAL,DOMINIO,ESCRITURA,300-15301,COMPRAVENTA,NOTARIA 1 DE GIRON,2155,Eugenia del Múgica,TI,5205032976,CERRADO,3172591443,NINGUNO,SOLTERO,28/06/1992
2,683070000000000170053000000000,68307000000000017,0,68307000000170053000,RURAL,DOMINIO,ESCRITURA,300-15302,COMPRAVENTA,NOTARIA 1 DE GIRON,5847,Eugenia del Múgica,CC,641383462,ABIERTO,3124265163,NINGUNO,SOLTERO,08/09/2021
3,683070000000000170064000000000,68307000000000017,0,68307000000170064000,RURAL,DOMINIO,ESCRITURA,300-15303,VENTA DERECHOS SUCESORALES,NOTARIA 1 DE GIRON,1646,Javi Nazario Cabrero Talavera,CC,632152427,ABIERTO,3127038346,NINGUNO,SOLTERO,12/05/1954
4,683070000000000170073000000000,68307000000000017,0,68307000000170073000,RURAL,DOMINIO,ESCRITURA,300-15304,VENTA DERECHOS SUCESORALES,NOTARIA 1 DE GIRON,767,Rosario Yáñez Martín,CC,988618362,ABIERTO,3138927365,NINGUNO,SOLTERO,24/07/1984
5,683070000000000170050000000000,68307000000000017,0,68307000000170050000,RURAL,DOMINIO,ESCRITURA,300-15305,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,188,Lope del Montero,CC,967592700,ABIERTO,3186800473,NINGUNO,SOLTERO,21/03/2014
6,683070000000000170261000000000,68307000000000017,0,68307000000170261000,RURAL,DOMINIO,ESCRITURA,300-15306,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,5695,Hernando Saura Hervás,CC,429342450,ABIERTO,3151292455,NINGUNO,SOLTERO,11/10/1950
7,683070000000000170251000000000,68307000000000017,0,68307000000170251000,RURAL,DOMINIO,ESCRITURA,300-15307,COMPRAVENTA,NOTARIA 1 DE GIRON,7500,Galo Canals Marquez,CC,638782408,ABIERTO,3116552612,NINGUNO,SOLTERO,13/06/2007
8,683070000000000170260000000000,68307000000000017,0,68307000000170260000,RURAL,DOMINIO,ESCRITURA,300-15308,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,5094,Salvador Barrio Cervera,CC,204642014,ABIERTO,3163347797,NINGUNO,SOLTERO,01/07/1960
9,683070000000000170240000000000,68307000000000017,0,68307000000170240000,RURAL,DOMINIO,ESCRITURA,300-15309,COMPRAVENTA DERECHOS Y ACCIONES ( FALSA TRADICION ),NOTARIA 1 DE GIRON,2401,Angelita Iglesias Villa,CC,435628179,ABIERTO,3189214620,NINGUNO,SOLTERO,20/08/1967
10,683070000000000170240000000000,68307000000000017,0,68307000000170240000,RURAL,DOMINIO,ESCRITURA,300-15310,COMPRAVENTA DERECHOS Y ACCIONES ( FALSA TRADICION ),NOTARIA 1 DE GIRON,1332,Celestina Almagro Tejada,CC,119690385,ABIERTO,3160012591,NINGUNO,SOLTERO,16/10/1983
11,683070000000000170240000000000,68307000000000017,0,68307000000170240000,RURAL,DOMINIO,ESCRITURA,300-15311,COMPRAVENTA,NOTARIA 1 DE GIRON,5929,Jose Ramón del Criado,CC,270864699,ABIERTO,3125946380,NINGUNO,SOLTERO,11/02/1967
12,683070000000000170250000000000,68307000000000017,0,68307000000170250000,RURAL,DOMINIO,ESCRITURA,300-15312,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,4582,Mónica Revilla Herrero,CC,742881259,ABIERTO,3115606298,NINGUNO,SOLTERO,06/01/1976
13,683070000000000170259000000000,68307000000000017,0,68307000000170259000,RURAL,DOMINIO,ESCRITURA,300-15313,COMPRAVENTA DERECHOS Y ACCIONES ( FALSA TRADICION ),NOTARIA 1 DE GIRON,3630,Agapito Tejera Ochoa,CC,611511925,ABIERTO,3126324111,NINGUNO,SOLTERO,12/04/1961
14,683070000000000170239000000000,68307000000000017,0,68307000000170239000,RURAL,DOMINIO,ESCRITURA,300-15314,COMPRAVENTA DERECHOS Y ACCIONES ( FALSA TRADICION ),NOTARIA 1 DE GIRON,1575,Cosme Marín-Ribas,CC,296022268,ABIERTO,3185529155,NINGUNO,SOLTERO,13/08/1969
